date,DBLCDBCE,DJUSRET,GOLDLNPM,IBOXHY,LBUSTRUU,LUACTRUU,LUTLTRUU,NDDUEAFE,NDUEEGF,RU20INTR Index,SP500,SPTR,SPTRMDCP
2021/3/17,362.1393,1503.33,1729.65,318.294,2311.76,3378.83,4162.3,7203.064,650.677,11996.28,3974.12,8237.352,4153.45
2021/3/18,348.6738,1490.59,1725.9,317.0883,2304.57,3366.04,4122.03,7263.24,652.881,11643.6,3915.46,8116.167,4074.07
2021/3/19,352.754,1471.46,1735.2,317.2254,2305.61,3372.04,4144.18,7213.498,647.8,11746.32,3913.1,8112.134,4075.78
2021/3/22,353.5907,1485.77,1736.15,318.2932,2311.42,3384.11,4187.88,7213.638,647.539,11640.12,3940.59,8169.136,4051.83
2021/3/23,344.2885,1487.31,1726.2,318.577,2317.37,3394.38,4226.14,7160.984,641.56,11223.58,3910.52,8106.833,3946.03
2021/3/24,353.1577,1479.28,1730.5,319.27,2319.96,3400.41,4247.61,7098.568,629.359,10959.98,3889.14,8062.996,3921.96
2021/3/25,344.18,1491.68,1737.3,319.1154,2317.08,3392.98,4218.2,7095.923,624.581,11211.24,3909.52,8105.511,4002.53
2021/3/26,351.7716,1524.68,1731.8,319.405,2313.67,3389.36,4200.86,7173.611,633.827,11408.52,3974.54,8240.381,4095.37
2021/3/29,351.8019,1518.99,1705.95,319.6275,2309.91,3382.95,4168.91,7176.27,635.111,11086.12,3971.09,8233.245,4021.57
2021/3/30,347.6772,1517.11,1683.95,319.5284,2311.53,3390.19,4187.64,7181.454,639.876,11279.84,3958.55,8208.097,4068.85
2021/3/31,347.5331,1509.97,1691.05,320.3309,2311.35,3395.15,4172.71,7157.113,638.395,11407.7,3972.89,8238.483,4070.07
2021/4/1,355.1572,1538.5,1726.05,320.9024,2318.97,3416.35,4229.41,7193.69,647.568,11579.49,4019.87,8335.909,4130.27
2021/4/5,347.7975,1544.01,1726.05,321.5638,2316.12,3409.32,4212.24,7249.476,649.302,11636,4077.91,8457.397,4157.33
2021/4/6,351.0299,1548.63,1744.65,322.1743,2322.26,3420.7,4240.55,7277.218,653.271,11606.57,4073.94,8449.542,4159.96
2021/4/7,351.9166,1549.83,1738.05,322.3908,2319.95,3414.72,4214.7,7302.853,649.366,11421.22,4079.95,8462.175,4130.73
2021/4/8,353.0169,1544.31,1755.5,322.6469,2325.33,3426.53,4246.51,7336.959,651.649,11521.85,4097.17,8499.85,4146.38
2021/4/9,352.5278,1545.05,1741.2,322.4417,2322.75,3421.27,4232.98,7337.392,645.355,11526.72,4128.8,8565.573,4166.28
2021/4/12,352.5084,1553.58,1732.85,322.1475,2322.31,3421.02,4232.04,7315.317,641.468,11477.06,4127.99,8564.03,4180.11
2021/4/13,355.1748,1563.69,1747.95,321.9344,2327.93,3431.1,4260.05,7335.607,642.266,11452.18,4141.59,8592.246,4161.92
2021/4/14,364.9072,1553.01,1735.55,322.2,2326.82,3429.94,4247.7,7371.995,648.467,11549.24,4124.66,8558.156,4182.5
2021/4/15,366.8403,1580.79,1757.2,322.906,2335.78,3449.15,4312.91,7412.35,650.748,11597.57,4170.42,8653.287,4213.39
2021/4/16,366.3554,1584.2,1774.45,323.1237,2330.78,3434.73,4284.43,7459.477,654.466,11626.41,4185.47,8684.506,4245.92
2021/4/19,366.7817,1588.48,1774.5,322.8334,2328.8,3427.63,4273.48,7488.629,654.403,11468.85,4163.26,8638.421,4219.55
2021/4/20,366.1081,1604.61,1777.85,322.2673,2332.19,3433.16,4293.34,7376.034,653.973,11243.92,4134.94,8579.947,4161.18
2021/4/21,364.9767,1611.58,1798.2,322.4693,2333.81,3437.22,4300.86,7360.135,648.767,11508.21,4173.42,8659.799,4231.1
2021/4/22,367.4064,1605.12,1787.75,322.6182,2334.94,3442.37,4317.04,7431.219,651.088,11472.33,4134.98,8580.731,4213.74
2021/4/23,369.831,1614.03,1781.8,322.9947,2333.78,3442.75,4308.54,7429.097,656.745,11674.21,4180.17,8674.796,4284.49
2021/4/26,372.3912,1617.96,1773.35,323.2157,2332.69,3442.19,4304.69,7463.537,660.454,11808.65,4187.62,8690.257,4304
2021/4/27,375.4995,1617.75,1784.15,323.2219,2327.41,3431,4269.02,7436.982,661.123,11825.42,4186.72,8688.452,4310.62
2021/4/28,376.6588,1610.39,1772.2,323.3064,2328.75,3432.86,4272.46,7445.168,662.625,11840.29,4183.18,8681.166,4309.46
2021/4/29,379.172,1624.29,1762.65,323.4546,2327.36,3428.81,4259.3,7447.043,662.466,11796.11,4211.47,8740.349,4310.84
2021/4/30,376.1247,1631.66,1767.65,323.4912,2329.61,3432.76,4269.82,7372.467,654.29,11647.24,4181.17,8678.161,4253.31
2021/5/3,379.2435,1625.54,1767.65,323.869,2330.83,3437.05,4272.15,7419.632,650.099,11703.92,4192.66,8702.025,4277.09
2021/5/4,386.0519,1616.78,1797.75,323.5125,2332.84,3442.19,4295.85,7334.152,648.216,11554.18,4164.66,8643.913,4262.66
2021/5/5,388.5017,1591.33,1782.25,323.9044,2334.78,3446.6,4303.87,7415.592,647.312,11518.99,4167.59,8650.038,4256.01
2021/5/6,389.0178,1599.96,1813.15,323.9644,2336.14,3450.29,4309.38,7468.072,651.132,11520.35,4201.62,8722.036,4276.3
2021/5/7,393.1822,1620.74,1836.55,324.2879,2336.08,3450.18,4291.38,7563.644,654.91,11676.38,4232.6,8787.815,4324.8
2021/5/10,391.7123,1622.98,1840.45,324.3575,2331.52,3439.72,4253.29,7604.935,653.893,11373.77,4188.43,8696.294,4273.3
2021/5/11,394.8659,1604.81,1829.1,323.418,2327.01,3428.39,4230.01,7454.095,645.692,11345,4152.1,8620.979,4235.57
2021/5/12,395.5296,1565.48,1830.7,322.7314,2319.53,3413.39,4187.48,7388.329,638.982,10975.75,4063.04,8437.235,4104.47
2021/5/13,384.2746,1584.58,1821.8,322.9431,2322.6,3420.43,4192.27,7341.814,628.104,11161.34,4112.5,8541.386,4179.14
2021/5/14,387.3195,1601.6,1838.1,323.2982,2327.41,3434.12,4226.9,7465.706,635.277,11438.73,4173.85,8669.49,4251
